"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 03 11:35:33 GMT 2023","Fri Nov 03 11:35:34 GMT 2023","215","Geo API Suite","City and Street Tests","com.itkhanz.tests.CitiesTest","com.itkhanz.tests.CitiesTest","test_cities_for_invalid_postcode","test_cities_for_invalid_postcode","GET cities for a invalid postcode, validate 404 Status Code, and empty response body"
"passed","Fri Nov 03 11:35:35 GMT 2023","Fri Nov 03 11:35:35 GMT 2023","278","Geo API Suite","City and Street Tests","com.itkhanz.tests.StreetsTest","com.itkhanz.tests.StreetsTest","test_streets_for_berlin_10409_postcode","test_streets_for_berlin_10409_postcode","GET streets for Berlin 10409, validate 200 Status Code, and total streets to be 29"
"passed","Fri Nov 03 11:35:33 GMT 2023","Fri Nov 03 11:35:33 GMT 2023","251","Geo API Suite","City and Street Tests","com.itkhanz.tests.CitiesTest","com.itkhanz.tests.CitiesTest","test_cities_for_given_postcode","test_cities_for_given_postcode","GET cities for a given postcode, validate 200 Status Code, and return type as list of cities"
"passed","Fri Nov 03 11:35:34 GMT 2023","Fri Nov 03 11:35:34 GMT 2023","276","Geo API Suite","City and Street Tests","com.itkhanz.tests.StreetsTest","com.itkhanz.tests.StreetsTest","test_streets_for_given_city_and_postcode","test_streets_for_given_city_and_postcode","GET streets for given postcode and city, validate 200 Status Code, and return type as list of streets with special characters"
"passed","Fri Nov 03 11:35:27 GMT 2023","Fri Nov 03 11:35:33 GMT 2023","5793","Geo API Suite","City and Street Tests","com.itkhanz.tests.CitiesTest","com.itkhanz.tests.CitiesTest","test_cities_for_given_postcode","test_cities_for_given_postcode","GET cities for a given postcode, validate 200 Status Code, and return type as list of cities"
"passed","Fri Nov 03 11:35:34 GMT 2023","Fri Nov 03 11:35:34 GMT 2023","245","Geo API Suite","City and Street Tests","com.itkhanz.tests.StreetsTest","com.itkhanz.tests.StreetsTest","test_streets_for_given_city_and_postcode","test_streets_for_given_city_and_postcode","GET streets for given postcode and city, validate 200 Status Code, and return type as list of streets with special characters"
"passed","Fri Nov 03 11:35:34 GMT 2023","Fri Nov 03 11:35:35 GMT 2023","307","Geo API Suite","City and Street Tests","com.itkhanz.tests.StreetsTest","com.itkhanz.tests.StreetsTest","test_streets_for_given_city_and_postcode","test_streets_for_given_city_and_postcode","GET streets for given postcode and city, validate 200 Status Code, and return type as list of streets with special characters"
"passed","Fri Nov 03 11:35:34 GMT 2023","Fri Nov 03 11:35:34 GMT 2023","240","Geo API Suite","City and Street Tests","com.itkhanz.tests.StreetsTest","com.itkhanz.tests.StreetsTest","test_streets_for_given_city_and_postcode","test_streets_for_given_city_and_postcode","GET streets for given postcode and city, validate 200 Status Code, and return type as list of streets with special characters"
