"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 30 00:03:01 GMT 2023","Mon Oct 30 00:03:02 GMT 2023","399","Geo API Suite","City and Street Tests","com.itkhanz.tests.StreetsTest","com.itkhanz.tests.StreetsTest","test_streets_for_berlin_10409_postcode","test_streets_for_berlin_10409_postcode","GET streets for Berlin 10409, validate 200 Status Code, and total streets to be 29"
"passed","Mon Oct 30 00:02:53 GMT 2023","Mon Oct 30 00:02:59 GMT 2023","6095","Geo API Suite","City and Street Tests","com.itkhanz.tests.CitiesTest","com.itkhanz.tests.CitiesTest","test_cities_for_given_postcode","test_cities_for_given_postcode","GET cities for a given postcode, validate 200 Status Code, and return type as list of cities"
"passed","Mon Oct 30 00:02:59 GMT 2023","Mon Oct 30 00:03:00 GMT 2023","307","Geo API Suite","City and Street Tests","com.itkhanz.tests.CitiesTest","com.itkhanz.tests.CitiesTest","test_cities_for_given_postcode","test_cities_for_given_postcode","GET cities for a given postcode, validate 200 Status Code, and return type as list of cities"
"passed","Mon Oct 30 00:03:00 GMT 2023","Mon Oct 30 00:03:00 GMT 2023","283","Geo API Suite","City and Street Tests","com.itkhanz.tests.CitiesTest","com.itkhanz.tests.CitiesTest","test_cities_for_invalid_postcode","test_cities_for_invalid_postcode","GET cities for a invalid postcode, validate 404 Status Code, and empty response body"
"passed","Mon Oct 30 00:03:01 GMT 2023","Mon Oct 30 00:03:01 GMT 2023","352","Geo API Suite","City and Street Tests","com.itkhanz.tests.StreetsTest","com.itkhanz.tests.StreetsTest","test_streets_for_given_city_and_postcode","test_streets_for_given_city_and_postcode","GET streets for given postcode and city, validate 200 Status Code, and return type as list of streets with special characters"
"passed","Mon Oct 30 00:03:00 GMT 2023","Mon Oct 30 00:03:01 GMT 2023","325","Geo API Suite","City and Street Tests","com.itkhanz.tests.StreetsTest","com.itkhanz.tests.StreetsTest","test_streets_for_given_city_and_postcode","test_streets_for_given_city_and_postcode","GET streets for given postcode and city, validate 200 Status Code, and return type as list of streets with special characters"
"passed","Mon Oct 30 00:03:01 GMT 2023","Mon Oct 30 00:03:01 GMT 2023","289","Geo API Suite","City and Street Tests","com.itkhanz.tests.StreetsTest","com.itkhanz.tests.StreetsTest","test_streets_for_given_city_and_postcode","test_streets_for_given_city_and_postcode","GET streets for given postcode and city, validate 200 Status Code, and return type as list of streets with special characters"
"passed","Mon Oct 30 00:03:00 GMT 2023","Mon Oct 30 00:03:00 GMT 2023","361","Geo API Suite","City and Street Tests","com.itkhanz.tests.StreetsTest","com.itkhanz.tests.StreetsTest","test_streets_for_given_city_and_postcode","test_streets_for_given_city_and_postcode","GET streets for given postcode and city, validate 200 Status Code, and return type as list of streets with special characters"
