"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 29 23:32:57 GMT 2023","Sun Oct 29 23:32:57 GMT 2023","263","Geo API Suite","City and Street Tests","com.itkhanz.tests.CitiesTest","com.itkhanz.tests.CitiesTest","test_cities_for_invalid_postcode","test_cities_for_invalid_postcode","GET cities for a invalid postcode, validate 404 Status Code, and empty response body"
"passed","Sun Oct 29 23:32:56 GMT 2023","Sun Oct 29 23:32:57 GMT 2023","934","Geo API Suite","City and Street Tests","com.itkhanz.tests.CitiesTest","com.itkhanz.tests.CitiesTest","test_cities_for_given_postcode","test_cities_for_given_postcode","GET cities for a given postcode, validate 200 Status Code, and return type as list of cities"
"passed","Sun Oct 29 23:32:57 GMT 2023","Sun Oct 29 23:32:58 GMT 2023","302","Geo API Suite","City and Street Tests","com.itkhanz.tests.StreetsTest","com.itkhanz.tests.StreetsTest","test_streets_for_given_city_and_postcode","test_streets_for_given_city_and_postcode","GET streets for given postcode and city, validate 200 Status Code, and return type as list of streets with special characters"
"passed","Sun Oct 29 23:32:57 GMT 2023","Sun Oct 29 23:32:57 GMT 2023","328","Geo API Suite","City and Street Tests","com.itkhanz.tests.StreetsTest","com.itkhanz.tests.StreetsTest","test_streets_for_given_city_and_postcode","test_streets_for_given_city_and_postcode","GET streets for given postcode and city, validate 200 Status Code, and return type as list of streets with special characters"
"passed","Sun Oct 29 23:32:58 GMT 2023","Sun Oct 29 23:32:59 GMT 2023","356","Geo API Suite","City and Street Tests","com.itkhanz.tests.StreetsTest","com.itkhanz.tests.StreetsTest","test_streets_for_berlin_10409_postcode","test_streets_for_berlin_10409_postcode","GET streets for Berlin 10409, validate 200 Status Code, and total streets to be 29"
"passed","Sun Oct 29 23:32:50 GMT 2023","Sun Oct 29 23:32:56 GMT 2023","5855","Geo API Suite","City and Street Tests","com.itkhanz.tests.CitiesTest","com.itkhanz.tests.CitiesTest","test_cities_for_given_postcode","test_cities_for_given_postcode","GET cities for a given postcode, validate 200 Status Code, and return type as list of cities"
"passed","Sun Oct 29 23:32:58 GMT 2023","Sun Oct 29 23:32:58 GMT 2023","343","Geo API Suite","City and Street Tests","com.itkhanz.tests.StreetsTest","com.itkhanz.tests.StreetsTest","test_streets_for_given_city_and_postcode","test_streets_for_given_city_and_postcode","GET streets for given postcode and city, validate 200 Status Code, and return type as list of streets with special characters"
"passed","Sun Oct 29 23:32:58 GMT 2023","Sun Oct 29 23:32:58 GMT 2023","313","Geo API Suite","City and Street Tests","com.itkhanz.tests.StreetsTest","com.itkhanz.tests.StreetsTest","test_streets_for_given_city_and_postcode","test_streets_for_given_city_and_postcode","GET streets for given postcode and city, validate 200 Status Code, and return type as list of streets with special characters"
