"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 03 11:33:28 GMT 2023","Fri Nov 03 11:33:28 GMT 2023","244","Geo API Suite","City and Street Tests","com.itkhanz.tests.StreetsTest","com.itkhanz.tests.StreetsTest","test_streets_for_given_city_and_postcode","test_streets_for_given_city_and_postcode","GET streets for given postcode and city, validate 200 Status Code, and return type as list of streets with special characters"
"passed","Fri Nov 03 11:33:28 GMT 2023","Fri Nov 03 11:33:28 GMT 2023","232","Geo API Suite","City and Street Tests","com.itkhanz.tests.CitiesTest","com.itkhanz.tests.CitiesTest","test_cities_for_invalid_postcode","test_cities_for_invalid_postcode","GET cities for a invalid postcode, validate 404 Status Code, and empty response body"
"passed","Fri Nov 03 11:33:29 GMT 2023","Fri Nov 03 11:33:29 GMT 2023","282","Geo API Suite","City and Street Tests","com.itkhanz.tests.StreetsTest","com.itkhanz.tests.StreetsTest","test_streets_for_berlin_10409_postcode","test_streets_for_berlin_10409_postcode","GET streets for Berlin 10409, validate 200 Status Code, and total streets to be 29"
"passed","Fri Nov 03 11:33:29 GMT 2023","Fri Nov 03 11:33:29 GMT 2023","257","Geo API Suite","City and Street Tests","com.itkhanz.tests.StreetsTest","com.itkhanz.tests.StreetsTest","test_streets_for_given_city_and_postcode","test_streets_for_given_city_and_postcode","GET streets for given postcode and city, validate 200 Status Code, and return type as list of streets with special characters"
"passed","Fri Nov 03 11:33:28 GMT 2023","Fri Nov 03 11:33:28 GMT 2023","243","Geo API Suite","City and Street Tests","com.itkhanz.tests.StreetsTest","com.itkhanz.tests.StreetsTest","test_streets_for_given_city_and_postcode","test_streets_for_given_city_and_postcode","GET streets for given postcode and city, validate 200 Status Code, and return type as list of streets with special characters"
"passed","Fri Nov 03 11:33:23 GMT 2023","Fri Nov 03 11:33:27 GMT 2023","4055","Geo API Suite","City and Street Tests","com.itkhanz.tests.CitiesTest","com.itkhanz.tests.CitiesTest","test_cities_for_given_postcode","test_cities_for_given_postcode","GET cities for a given postcode, validate 200 Status Code, and return type as list of cities"
"passed","Fri Nov 03 11:33:28 GMT 2023","Fri Nov 03 11:33:29 GMT 2023","277","Geo API Suite","City and Street Tests","com.itkhanz.tests.StreetsTest","com.itkhanz.tests.StreetsTest","test_streets_for_given_city_and_postcode","test_streets_for_given_city_and_postcode","GET streets for given postcode and city, validate 200 Status Code, and return type as list of streets with special characters"
"passed","Fri Nov 03 11:33:27 GMT 2023","Fri Nov 03 11:33:28 GMT 2023","220","Geo API Suite","City and Street Tests","com.itkhanz.tests.CitiesTest","com.itkhanz.tests.CitiesTest","test_cities_for_given_postcode","test_cities_for_given_postcode","GET cities for a given postcode, validate 200 Status Code, and return type as list of cities"
